name,longitude,latitude
강원도 강릉시,129.04575162954853,37.652369867369096
강원도 고성군,128.54668536563383,38.304704584579746
강원도 동해시,129.0858413824787,37.59776628718989
강원도 삼척시,129.29013107989024,37.312483226491416
강원도 양구군,128.02835964324694,38.294027035309966
강원도 양양군,128.6627308900248,38.093461173438925
강원도 영월군,128.27012862514758,37.41147004960532
강원도 원주시,127.93366555138584,37.50521417138099
강원도 인제군,127.97537469776056,37.959818181540754
강원도 정선군,128.5038572178319,37.419322798677484
강원도 철원군,127.5855838563213,38.33983385215323
강원도 춘천시,127.58293516250139,38.08337236706115
강원도 태백시,129.01041977785135,37.33912734522837
강원도 평창군,128.72965553897745,37.65254449948251
강원도 홍천군,128.02509141500298,37.94752218505273
강원도 화천군,127.81550612148014,38.290724712769304
강원도 횡성군,127.75728237065167,37.49817068570142
경기도 가평군,127.44971953352324,38.03735342856871
경기도 고양시 덕양구,126.92693046723775,37.751232665865146
경기도 고양시 일산동구,126.74355373276974,37.65996437149409
경기도 고양시 일산서구,126.74355373276974,37.65996437149409
경기도 광명시,126.88856402607864,37.42079822038849
경기도 광주시,127.13044122875559,37.352293531318544
경기도 구리시,127.14458577899502,37.64583654428577
경기도 군포시,126.87060146634167,37.329300476123564
경기도 김포시,126.572927106922,37.59015789637531
경기도 남양주시,127.26357819258884,37.78327723612605
경기도 동두천시,127.00405531617177,37.91796746600729
경기도 부천시,126.82021699997408,37.508862593651784
경기도 성남시 분당구,127.07370914961466,37.399686797883746
경기도 성남시 수정구,127.13780929540887,37.47682198182346
경기도 성남시 중원구,127.17877085634875,37.47619050185327
경기도 수원시 권선구,127.03506794826104,37.23959712354538
경기도 안성시,127.26204243008873,37.15848077423512
경기도 안양시 동안구,126.96168108598809,37.44352378836459
경기도 안양시 만안구,126.88709927778484,37.41523665665897
경기도 양주시,126.89978716571659,37.8275841960889
경기도 양평군,127.30377025991015,37.524624856215084
경기도 여주시,127.51709787864498,37.43916874695019
경기도 연천군,127.1451754057979,38.244396850771665
경기도 오산시,127.02507122188601,37.203188842957736
경기도 용인시 기흥구,127.063098873422,37.27194274838877
경기도 용인시 수지구,127.02749663211482,37.37488265599636
경기도 용인시 처인구,127.10657371311571,37.126609086764134
경기도 의왕시,127.03991789339803,37.418289937033656
경기도 의정부시,127.1042727623872,37.78293412699111
경기도 이천시,127.47032687066805,37.36267551205221
경기도 파주시,126.6571433810888,37.8429837201754
경기도 평택시,126.83375913683894,36.969336208706196
경기도 포천시,127.12190567238733,37.775717161991494
경기도 하남시,127.19297630192732,37.5938197838599
경기도 화성시,126.79226987137088,37.18027573818815
경상남도 거제시,128.53662635576336,34.80920363363852
경상남도 거창군,127.88100866157095,35.90862822260005
경상남도 고성군,128.54668536563383,38.304704584579746
경상남도 김해시,128.86165686294459,35.39826107732343
경상남도 남해군,128.08236470953227,34.50628983025612
경상남도 밀양시,128.56906944358803,35.49481592927538
경상남도 사천시,128.10877134731422,34.92708714516287
경상남도 산청군,127.86192142421379,35.578980794959726
경상남도 양산시,128.87198526481643,35.381399983748864
경상남도 의령군,128.29233164956455,35.520145513050906
경상남도 진주시,127.8857031891984,35.22124760009585
경상남도 창녕군,128.52788116958055,35.685779159402934
경상남도 창원시 마산합포구,128.57308837271265,35.06527497684612
경상남도 창원시 마산회원구,128.55566298978394,35.27983491602266
경상남도 창원시 의창구,128.69218958974974,35.23498660622441
경상남도 하동군,127.81708952252667,34.94707079441781
경상남도 함안군,128.53769977201398,35.38251225249337
경상남도 함양군,127.69384035485578,35.760496196895026
경상남도 합천군,128.09649484698383,35.83343580852181
경상북도 경산시,128.74506361417815,35.99366878831446
경상북도 경주시,129.4848835319679,35.74118118982804
경상북도 고령군,128.44348526083698,35.848474663518395
경상북도 구미시,128.13066335447675,36.27055418551492
경상북도 군위군,128.4533342523872,36.329653909152135
경상북도 김천시,128.14035566976347,36.260456164829435
경상북도 문경시,128.25194322711323,36.86921069325774
경상북도 봉화군,128.66161219848402,36.84489805779608
경상북도 상주시,127.8777986059045,36.659380553850724
경상북도 성주군,128.22168212896685,36.058088163978645
경상북도 안동시,128.80325711443737,36.81654993439909
경상북도 영덕군,129.44701401261173,36.51501738776744
경상북도 영양군,129.11287047617014,36.84608279823772
경상북도 영주시,128.6545652183421,37.06583898564377
경상북도 영천시,128.6920613028898,36.02098538605055
경상북도 예천군,128.45643590911806,36.84831335067207
경상북도 울진군,129.41199193181296,37.04165468060863
경상북도 의성군,128.36283893144912,36.53324839351611
경상북도 청도군,129.01463094701933,35.84724809158516
경상북도 청송군,129.00236346839014,36.59757029662231
경상북도 칠곡군,128.49021618763464,36.128093791349485
경상북도 포항시 남구,129.5173443663402,36.051522914677314
경상북도 포항시 북구,129.45310968716618,36.1083660695003
광주광역시 광산구,126.6425539961741,35.14937775917962
광주광역시 동구,129.44303012841274,35.494038830612595
광주광역시 북구,129.45441671848164,35.61896034114206
광주광역시 서구,127.36799900146532,36.29193952808868
대구광역시 달서구,128.51700136183462,35.87222840379916
대구광역시 달성군,128.4956738254119,35.8208763755415
대구광역시 동구,129.44303012841274,35.494038830612595
대구광역시 북구,129.45441671848164,35.61896034114206
대구광역시 수성구,128.58958307591934,35.8119391907631
대전광역시 대덕구,127.47925547594674,36.47984374309358
대전광역시 동구,129.44303012841274,35.494038830612595
대전광역시 서구,127.36799900146532,36.29193952808868
대전광역시 유성구,127.35161374788981,36.33491601840843
대전광역시 중구,129.32980231054097,35.600496474609635
부산광역시 강서구,128.7743959430505,35.01391370088023
